                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1113,                 2.2161,                 2.4602,                0.91089,                 0.8091,                 0.8628,                0.47362,                 1.6585,                  1.262,                 1.7573,             0.00066616,             0.00066616,             0.00066616
                      2,                  1.452,                 1.0624,                 1.6678,                0.92373,                0.85694,                0.91133,                 0.5508,                 1.4059,                0.95038,                 1.5648,             0.00067308,             0.00067308,             0.00067308
